{tackling, 해결하기}
{laborious, 힘든}
{raises, 제기하다}
{issues, 문제들}
{first, 첫번째}
{come, 오다}
{indicates, 나타낸다}
{memory, 메모리}
{safety, 안전}
{violations, 위반들}
{unlikely, 가능성이 낮은}
{signal, 신호하다}
{race, 경쟁}
{conditions, 조건들}
{some, 일부}
{get, 얻다}
{outdated, 구식의}
{will, ~할 것이다}
{replaced, 교체된}
{with, ~와 함께}
{future, 미래의}
{versions, 버전들}
{programming, 프로그래밍}
{language, 언어}
{compiler, 컴파일러}
{operating, 운영}
{computer, 컴퓨터}
{architecture, 아키텍처}
{however, 그러나}
{no, 아니오}
{longer, 더 이상}
{relies, 의존한다}
{designed, 설계된}
{use, 사용하다}
{learned, 학습된}
{what, 무엇}
{are, ~이다}
{vectors, 벡터들}
{modeling, 모델링하는}
{desired, 원하는}
{properties, 속성들}
{famous, 유명한}
{model, 모델}
{representing, 표현하는}
{words, 단어들}
{space, 공간}
{similar, 유사한}
{clustered, 군집화된}
{together, 함께}
{made, 만들었다}
{time, 시간}
{go, 가다}
{to, ~에}
{natural, 자연의}
{processing, 처리}
{take, 취하다}
{another, 다른}
{vision, 비전}
{discovered, 발견된}
{outputs, 출력들}
{particular, 특정한}
{layers, 층들}
{outputs, 출력들}
{see, 보다}
{argument, 논거}
{trying, 노력하는}
{significant, 중요한}
{unfortunately, 불행히도}
{types, 유형들}
{challenging, 도전적인}
{obtain, 얻다}
{than, ~보다}
{others, 다른 것들}
{for, ~를 위해}
{instance, 경우}
{finding, 찾는}
{methods, 방법들}
{longer, 더 긴}
{sentences, 문장들}
{paragraphs, 단락들}
{still, 여전히}
{ongoing, 진행중인}
{effort, 노력}
{incorporating, 통합하는}
{topology, 위상구조}
{into, ~로}
{not, 아니다}
{fully, 완전히}
{either, 어느 쪽이든}
{are, ~이다}
{hard, 어려운}
{case, 경우}
{have, 가지다}
{traits, 특성들}
{texts, 텍스트들}
{structured, 구조화된}
{like, ~같은}
{best, 최고로}
{represented, 표현된}
{as, ~로서}
{control, 제어}
{flow, 흐름}
{kind, 종류}
{engineers, 엔지니어들}
{deal, 다루다}
{most, 가장}
{received, 받았다}
{much, 많은}
{attention, 주목}
{work, 작업}
{hope, 희망하다}
{start, 시작하다}
{filling, 채우는}
{fact, 사실}
{current, 현재의}
{deep, 깊은}
{focus, 집중하다}
{clone, 클론}
{therefore, 따라서}
{their, 그들의}
{application, 적용}
{limited, 제한된}
{syntactically, 구문론적으로}
{similar, 유사한}
{patterns, 패턴들}
{in, ~에서}
{contrast, 대조}
{aims, 목표로 하다}
{generalize, 일반화하다}
{insights, 통찰들}
{introducing, 도입하는}
{embedding, 임베딩}
{encompasses, 포함하다}
{notions, 개념들}
{local, 지역의}
{novel, 새로운}
{way, 방법}
{that, ~인}
{captures, 포착하다}
{main, 주요한}
{contributions, 기여들}
{best, 최선의}
{knowledge, 지식}
{first, 첫번째}
{suggest, 제안하다}
{demonstrated, 입증된}
{different, 다른}
{end, 끝}
{present, 제시하다}
{modelling, 모델링하는}
{structure, 구조}
{computations, 계산들}
{prove, 증명하다}
{concept, 개념}
{can, 할 수 있다}
{be, ~이다}
{evaluate, 평가하다}
{distinct, 구별되는}
{recognizing, 인식하는}
{aspects, 측면들}
{algorithmic, 알고리즘의}
{opposed, 반대되는}
{syntactic, 구문론적}
{across, ~에 걸쳐}
{show, 보여주다}
{rely, 의존하다}
{rule, 규칙}
{systems, 시스템들}
{defined, 정의된}
{reputation, 평판}
{boosting, 향상시키는}
{there, 그곳에}
{been, ~였다}
{lot, 많이}
{interest, 관심}
{briefly, 간략히}
{discuss, 논의하다}
{previous, 이전의}
{extracted, 추출된}
{type, 유형}
{designing, 설계하는}
{extracting, 추출하는}
{considered, 고려된}
{equivalent, 동등한}
{manually, 수동으로}
{crafting, 만드는}
{classify, 분류하다}
{form, 형태}
{extract, 추출하다}
{simplest, 가장 간단한}
{numerical, 수치적}
{textual, 텍스트의}
{directly, 직접적으로}
{assembly, 어셈블리}
{done, 완료된}
{tokens, 토큰들}
{lines, 줄들}
{etc, 등등}
{grams, 그램들}
{widely, 널리}
{literature, 문헌}
{well, 잘}
{efforts, 노력들}
{focusing, 집중하는}
{relevant, 관련된}
{API, API}
{traces, 추적들}
{detect, 탐지하다}
{solutions, 해결책들}
{abstract, 추상}
{syntax, 구문}
{trees, 트리들}
{combine, 결합하다}
{under, ~아래}
{among, ~중에서}
{uses, 사용한다}
{closeness, 근접성}
{compute, 계산하다}
{similarity, 유사성}
{between, ~사이}
{functions, 함수들}
{converts, 변환한다}
{numeric, 수치의}
{feature, 특징}
{perform, 수행하다}
{cross, 교차}
{bug, 버그}
{search, 검색}
{yet, 아직}
{works, 작업들}
{quantitative, 정량적}
{discover, 발견하다}
{besides, ~외에}
{possible, 가능한}
{employ, 사용하다}
{neural, 신경의}
{purpose, 목적}
{allows, 허용한다}
{expressing, 표현하는}
{capturing, 포착하는}
{more, 더}
{complicated, 복잡한}
{relations, 관계들}
{characteristics, 특성들}
{here, 여기}
{whether, ~인지 아닌지}
{sequential, 순차적}
{body, 본문}
{naturalness, 자연스러움}
{inspired, 영감을 준}
{applying, 적용하는}
{NLP, 자연어처리}
{general, 일반적}
{particular, 특정한}
{suggested, 제안했다}
{serializing, 직렬화하는}
{ASTs, 추상구문트리들}
{text, 텍스트}
{LSTMs, LSTM들}
{RNNs, RNN들}
{recently, 최근에}
{proposed, 제안했다}
{siamese, 샴}
{similarity, 유사성}
{detection, 탐지}
{closest, 가장 가까운}
{starting, 시작하는}
{constructing, 구성하는}
{enriched, 풍부해진}
{selective, 선택적}
{callee, 피호출자}
{expansion, 확장}
{authors, 저자들}
{then, 그런 다음}
{sample, 샘플}
{random, 무작위}
{walks, 걸음들}
{generate, 생성하다}
{sequences, 시퀀스들}
{train, 훈련하다}
{paragraph, 단락}
{vector, 벡터}
{spirit, 정신}
{earlier, 더 이른}
{approaches, 접근법들}
{sampling, 샘플링하는}
{nodes, 노드들}
{word, 단어}
{embedding, 임베딩}
{adjacent, 인접한}
{representation, 표현}
{today, 오늘날}
{popular, 인기있는}
{neural, 신경의}
{networks, 네트워크들}
{message, 메시지}
{passing, 전달}
{neighbourhood, 이웃}
{aggregation, 집계}
{shown, 보여진}
{much, 훨씬}
{better, 더 나은}
{embeddings, 임베딩들}
{choice, 선택}
{tackling, 해결하는}
{tasks, 작업들}
{because, 왜냐하면}
{construction, 구성}
{frequently, 자주}
{intuitive, 직관적인}
{understood, 이해된}
{step, 단계}
{instance, 경우}
{successfully, 성공적으로}
{top, 상위}
{task, 작업}
{source, 소스}
{from, ~로부터}
{these, 이것들}
{uses, 사용한다}
{architecture, 아키텍처}
{attributed, 속성이 부여된}
{CFG, 제어흐름그래프}
{graphs, 그래프들}
{enhanced, 향상된}
{few, 몇몇}
{manually, 수동으로}
{defined, 정의된}
{features, 특징들}
{our, 우리의}
{instead, 대신에}
{enhancing, 향상시키는}
{basic, 기본}
{blocks, 블록들}
{attributes, 속성들}
{enriching, 풍부하게 하는}
{them, 그것들}
{expanding, 확장하는}
{each, 각}
{block, 블록}
{computational, 계산의}
{tree, 트리}
{rely, 의존하다}
{fact, 사실}
{able, 할 수 있는}
{capture, 포착하다}
{if, 만약}
{necessary, 필요한}
{matching, 일치하는}
{idea, 아이디어}
{computing, 계산하는}
{either, 어느 하나}
{distance, 거리}
{function, 함수}
{comparison, 비교}
{might, ~일지도 모른다}
{beneficial, 유익한}
{directly, 직접}
{compare, 비교하다}
{so, 그래서}
{as, ~로}
{opposed, 반대되는}
{where, ~인 곳}
{representations, 표현들}
{known, 알려진}
{vulnerable, 취약한}
{benign, 양성의}
{were, ~였다}
{pre, 사전}
{computed, 계산된}
{needs, 필요로 하다}
{compute, 계산하다}
{similarity, 유사성}
{pair, 쌍}
{individually, 개별적으로}
{scratch, 처음부터}
{demonstrate, 입증하다}
{approach, 접근법}
{has, 가지다}
{better, 더 나은}
{performance, 성능}
{compared, 비교하여}
{architectures, 아키텍처들}
{clearly, 명확히}
{slower, 더 느린}
{importantly, 중요하게도}
{us, 우리}
{does, ~하다}
{produce, 생성하다}
{program, 프로그램}
{embeddings, 임베딩들}
{other, 다른}
{research, 연구}
{using, 사용하는}
{graph, 그래프}
{structure, 구조}
{binary, 바이너리}
{programs, 프로그램들}
{include, 포함하다}
{conditional, 조건부}
{random, 무작위}
{fields, 필드들}
{enhanced, 향상된}
{attempting, 시도하는}
{recover, 복구하다}
{debug, 디버그}
{information, 정보}
{start, 시작하다}
{converting, 변환하는}
{executable, 실행파일}
{designed, 설계된}
{allow, 허용하다}
{mathematically, 수학적으로}
{capturing, 포착하는}
{semantics, 의미론}
{computations, 계산들}
{next, 다음}
{use, 사용하다}
{convolutional, 합성곱}
{neural, 신경}
{network, 네트워크}
{learn, 학습하다}
{distributed, 분산된}
{representation, 표현}
{below, 아래}
{describe, 설명하다}
{process, 과정}
{constructing, 구성하는}
{followed, 뒤따르는}
{brief, 간략한}
{introduction, 소개}
{how, 어떻게}
{convolutional, 합성곱}
{neural, 신경}
{networks, 네트워크들}
{work, 작동하다}
{also, 또한}
{describe, 설명하다}
{baseline, 기준선}
{model, 모델}
{evaluation, 평가}
{comparison, 비교}
{alongside, ~와 함께}
{previous, 이전의}
{existing, 기존의}
{approaches, 접근법들}
{start, 시작하다}
{disassembling, 디스어셈블하는}
{binary, 바이너리}
{program, 프로그램}
{constructing, 구성하는}
{control, 제어}
{flow, 흐름}
{graph, 그래프}
{use, 사용하다}
{static, 정적}
{inter, 상호}
{procedural, 절차적}
{CFGs, 제어흐름그래프들}
{which, 어느}
{construct, 구성하다}
{library, 라이브러리}
{fact, 사실}
{that, ~인}
{each, 각}
{basic, 기본}
{block, 블록}
{executed, 실행된}
{linearly, 선형적으로}
{allows, 허용한다}
{us, 우리}
{unfold, 펼치다}
{instructions, 명령어들}
{within, ~내에}
{represent, 표현하다}
{them, 그것들}
{directed, 방향이 있는}
{computational, 계산의}
{tree, 트리}
{similar, 유사한}
{abstract, 추상}
{syntax, 구문}
{tree, 트리}
{result, 결과}
{this, 이}
{process, 과정}
{schematically, 도식적으로}
{depicted, 묘사된}
{computations, 계산들}
{do, 하다}
{not, 아니다}
{necessarily, 반드시}
{all, 모두}
{depend, 의존하다}
{on, ~에}
{other, 다른}
{there, 그곳에}
{may, ~일 수 있다}
{be, ~이다}
{chunks, 덩어리들}
{code, 코드}
{can, 할 수 있다}
{be, ~이다}
{reordered, 재정렬된}
{inside, 내부}
{without, ~없이}
{affecting, 영향을 주는}
{final, 최종}
{result, 결과}
{case, 경우}
{approach, 접근법}
{described, 설명된}
{so, 그렇게}
{far, 지금까지}
{yields, 산출하다}
{forest, 숲}
{computations, 계산들}
{connect, 연결하다}
{trees, 트리들}
{forest, 숲}
{we, 우리}
{add, 추가하다}
{source, 소스}
{sink, 싱크}
{nodes, 노드들}
{at, ~에}
{beginning, 시작}
{end, 끝}
{parent, 부모}
{or, 또는}
{correspondingly, 상응하게}
{child, 자식}
{for, ~을 위한}
{all, 모든}
{generated, 생성된}
{from, ~로부터}
{that, 그}
{basic, 기본}
{block, 블록}
{which, 어느}
{is, ~이다}
{demonstrated, 입증된}
{resulting, 결과로 나온}
{graphs, 그래프들}
{are, ~이다}
{then, 그런 다음}
{connected, 연결된}
{following, 따르는}
{same, 같은}
{topology, 위상구조}
{blocks, 블록들}
{originally, 원래}
{had, 가졌다}
{shown, 보여진}
{construct, 구성하다}
{above, 위의}
{mentioned, 언급된}
{computational, 계산의}
{trees, 트리들}
{intermediate, 중간}
{representation, 표현}
{figures, 그림들}
{provide, 제공하다}
{demonstration, 시연}
{process, 과정}
{every, 모든}
{node, 노드}
{resulting, 결과로 나온}
{tree, 트리}
{thus, 따라서}
{labelled, 라벨이 붙은}
{constant, 상수}
{register, 레지스터}
{temporary, 임시}
{operation, 연산}
{edges, 간선들}
{directed, 방향이 있는}
{argument, 인수}
{instruction, 명령어}
{within, ~내에}
{reuse, 재사용하다}
{correspond, 대응하다}
{addresses, 주소들}
{temporaries, 임시변수들}
{constants, 상수들}
{registers, 레지스터들}
{tie, 묶다}
{together, 함께}
{related, 관련된}
{provides, 제공하다}
{single, 단일}
{assignment, 할당}
{form, 형태}
{means, 의미하다}
{assembly, 어셈블리}
{lifted, 들어올려진}
{spilled, 흘러넘친}
{multiple, 다수의}
{IR, 중간표현}
{statements, 문장들}
{operating, 작동하는}
{variables, 변수들}
{once, 한 번}
{goal, 목표}
{make, 만들다}
{side, 측면}
{effects, 효과들}
{explicit, 명시적인}
{however, 그러나}
{does, ~하다}
{track, 추적하다}
{instances, 인스턴스들}
{different, 다른}
{definitions, 정의들}
{uses, 사용들}
{across, ~에 걸쳐}
{instructions, 명령어들}
{implemented, 구현했다}
{ensure, 보장하다}
{introduce, 도입하다}
{fake, 가짜}
{data, 데이터}
{dependence, 의존성}
{edges, 간선들}
{implementation, 구현}
{overrides, 재정의하다}
{redefines, 재정의하다}
{content, 내용}
{subscript, 첨자}
{incremented, 증가된}
{increment, 증가시키다}
{so, 그래서}
{last, 마지막}
{step, 단계}
{remove, 제거하다}
{redundant, 중복된}
{particularly, 특히}
{follows, 따르는}
{chains, 체인들}
{footnote, 각주}
{after, ~후에}
{complete, 완료된}
{indices, 인덱스들}
{reduce, 줄이다}
{number, 수}
{distinct, 구별되는}
{labels, 라벨들}
{labels, 라벨들}
{construct, 구성하다}
{feature, 특징}
{matrix, 행렬}
{size, 크기}
{n, n}
{d, d}
{entire, 전체}
{dataset, 데이터셋}
{thus, 따라서}
{has, 가지다}
{one, 하나}
{row, 행}
{associated, 연관된}
{with, ~와}
{it, 그것}
{choose, 선택하다}
{fixed, 고정된}
{ordering, 순서}
{given, 주어진}
{convert, 변환하다}
{label, 라벨}
{into, ~로}
{assign, 할당하다}
{positions, 위치들}
{zero, 영}
{exception, 예외}
{position, 위치}
{corresponds, 대응하다}
{known, 알려진}
{as, ~로서}
{hot, 핫}
{will, ~할 것이다}
{further, 더 나아가}
{refer, 참조하다}
{to, ~에}
{note, 주목하다}
{interchangeably, 상호교환가능하게}
{used, 사용된}
{learning, 학습하는}
{representations, 표현들}
{fast, 빠르게}
{developing, 발전하는}
{field, 분야}
{alternative, 대안의}
{representation, 표현}
{learning, 학습}
{models, 모델들}
{include, 포함하다}
{gated, 게이트된}
{neural, 신경}
{networks, 네트워크들}
{well, 잘}
{as, ~처럼}
{number, 수}
{others, 다른 것들}
{literature, 문헌}
{GCNs, GCN들}
{consistently, 일관되게}
{perform, 수행하다}
{par, 동등한}
{or, 또는}
{better, 더 나은}
{than, ~보다}
{more, 더}
{recent, 최근의}
{variants, 변형들}
{graph, 그래프}
{neural, 신경}
{networks, 네트워크들}
{while, ~하는 동안}
{being, ~인 것}
{simpler, 더 단순한}
{oftentimes, 종종}
{faster, 더 빠른}
{chose, 선택했다}
{GCN, GCN}
{because, 왜냐하면}
{provides, 제공하다}
{good, 좋은}
{trade, 거래}
{off, 꺼진}
{between, ~사이의}
{simplicity, 단순성}
{performance, 성능}
{speed, 속도}
{latter, 후자}
{important, 중요한}
{due, ~때문에}
{to, ~에}
{low, 낮은}
{level, 수준}
{nature, 본질}
{binary, 바이너리}
{code, 코드}
{reasonable, 합리적인}
{expect, 예상하다}
{program, 프로그램}
{graphs, 그래프들}
{grow, 성장하다}
{quite, 꽤}
{large, 큰}
{forces, 강제하다}
{us, 우리}
{favour, 선호하다}
{model, 모델}
{weight, 가중치}
{updates, 업데이트들}
{can, 할 수 있다}
{be, ~이다}
{efficiently, 효율적으로}
{computed, 계산된}
{batches, 배치들}
{consists, 구성되다}
{few, 몇몇}
{stacked, 쌓인}
{convolutional, 합성곱}
{layers, 층들}
{layer, 층}
{applied, 적용된}
{simultaneously, 동시에}
{all, 모든}
{nodes, 노드들}
{for, ~을 위해}
{each, 각}
{node, 노드}
{averages, 평균을 내다}
{features, 특징들}
{that, 그}
{node, 노드}
{with, ~와}
{its, 그것의}
{neighbours, 이웃들}
{different, 다른}
{nodes, 노드들}
{scaled, 크기가 조정된}
{differently, 다르게}
{process, 과정}
{averaging, 평균내기}
{these, 이러한}
{weights, 가중치들}
{learned, 학습된}
{i.e., 즉}
{they, 그것들}
{are, ~이다}
{parameters, 매개변수들}
{after, ~후에}
{assigned, 할당된}
{resulting, 결과로 나온}
{vector, 벡터}
{new, 새로운}
{feature, 특징}
{vector, 벡터}
{proceed, 진행하다}
{either, 어느 하나}
{apply, 적용하다}
{different, 다른}
{compute, 계산하다}
{loss, 손실}
{perform, 수행하다}
{backpropagation, 역전파}
{update, 업데이트하다}
{formally, 형식적으로}
{computing, 계산하는}
{new, 새로운}
{feature, 특징}
{vectors, 벡터들}
{known, 알려진}
{forward, 순방향}
{pass, 패스}
{propagation, 전파}
{l, l}
{st, 번째}
{described, 설명된}
{follows, 다음과 같다}
{adjacency, 인접성}
{matrix, 행렬}
{added, 추가된}
{self, 자기}
{loops, 루프들}
{diagonal, 대각선}
{out, 밖의}
{degree, 차수}
{matrix, 행렬}
{ReLU, ReLU}
{max, 최대값}
{non, 비}
{linearity, 선형성}
{activation, 활성화}
{function, 함수}
{result, 결과}
{through, ~을 통해}
{previous, 이전}
{layer, 층}
{being, ~인}
{trainable, 훈련가능한}
{weight, 가중치}
{matrix, 행렬}
{since, ~이므로}
{one, 하나}
{averages, 평균을 낸다}
{immediate, 즉각적인}
{neighborhood, 이웃}
{performing, 수행하는}
{k, k}
{convolutions, 합성곱들}
{incorporate, 통합하다}
{th, 번째}
{our, 우리의}
{description, 설명}
{follows, 따르다}
{that, ~인}
{forward, 순방향}
{pass, 패스}
{outputs, 출력하다}
{Z, Z}
{still, 여전히}
{rows, 행들}
{per, ~당}
{but, 하지만}
{have, 가질 수 있다}
{columns, 열들}
{get, 얻다}
{entire, 전체}
{aggregate, 집계하다}
{here, 여기}
{possible, 가능하다}
{aggregation, 집계}
{summation, 합계}
{averaging, 평균}
{even, 심지어}
{attention, 어텐션}
{mechanism, 메커니즘}
{experiments, 실험들}
{went, 갔다}
{simple, 단순한}
{sum, 합}
{aggregate, 집계}
{schematic, 도식적}
{illustration, 그림}
{entire, 전체}
{available, 이용가능한}
{aggregated, 집계된}
{two, 두}
{layer, 층}
{perceptron, 퍼셉트론}
{passed, 통과된}
{softmax, 소프트맥스}
{defined, 정의된}
{like, ~처럼}
{final, 최종}
{classification, 분류}
{frame, 구성하다}
{tasks, 작업들}
{cross, 교차}
{entropy, 엔트로피}
{error, 오류}
{objective, 목적}
{optimization, 최적화}
{cover, 다루다}
{procedure, 절차}
{selecting, 선택하는}
{hyperparameters, 하이퍼파라미터들}
{detail, 세부사항}
{experimental, 실험적}
{setup, 설정}
{section, 섹션}
{wanted, 원했다}
{compare, 비교하다}
{proposed, 제안된}
{another, 다른}
{independent, 독립적인}
{particular, 특정한}
{one, 하나}
{that, ~인}
{experimented, 실험했다}
{long, 긴}
{short, 짧은}
{term, 기간}
{memory, 메모리}
{LSTM, LSTM}
{support, 지원}
{vector, 벡터}
{machine, 기계}
{SVM, SVM}
{classifiers, 분류기들}
{purpose, 목적}
{interpreted, 해석했다}
{words, 단어들}
{sentence, 문장}
{following, 따르는}
{similar, 유사한}
{approaches, 접근법들}
{e.g., 예를 들어}
{both, 양쪽}
{lifted, 올려진}
{best, 최고의}
{performance, 성능}
{setup, 설정}
{chose, 선택했다}
{baseline, 기준선}
{gaussian, 가우시안}
{kernel, 커널}
{bag, 가방}
{of, ~의}
{words, 단어들}
{gave, 주었다}
{line, 줄}
{tokenized, 토큰화된}
{single, 단일}
{word, 단어}
{vocabulary, 어휘}
{obtained, 얻어진}
{training, 훈련}
{part, 부분}
{frequency, 빈도}
{thresholding, 임계값설정}
{infrequent, 드문}
{entries, 항목들}
{sparsity, 희소성}
{those, 그러한}
{frequencies, 빈도들}
{empirically, 경험적으로}
{found, 발견된}
{validation, 검증}
{evaluate, 평가하다}
{independent, 독립적인}
{test, 테스트하다}
{through, ~을 통해}
{classifying, 분류하는}
{coding, 코딩}
{challenges, 과제들}
{second, 두번째}
{want, 원하다}
{utility, 유용성}
{real, 실제}
{world, 세계}
{apply, 적용하다}
{analyze, 분석하다}
{common, 일반적인}
{security, 보안}
{problem, 문제}
{discovery, 발견}
{compiled, 컴파일된}
{files, 파일들}
{semantically, 의미론적으로}
{later, 나중의}
{sections, 섹션들}
{successfully, 성공적으로}
{tackled, 해결된}
{constructed, 구성된}
{crucial, 중요한}
{semantic, 의미론적}
{analysis, 분석}
{qualify, 규정하다}
{functional, 기능적}
{by, ~에 의해}
{opposition, 반대}
{syntactic, 구문론적}
{aim, 목표로 하다}
{capture, 포착하다}
{semantics, 의미론}
{functional, 기능적}
{properties, 속성들}
{algorithms, 알고리즘들}
{creating, 생성하는}
{assisting, 보조하는}
{tools, 도구들}
{researchers, 연구자들}
{understand, 이해하다}
