"Data augmentation techniques were applied to increase the diversity of training samples.","훈련 샘플의 다양성을 높이기 위해 데이터 증강 기법이 적용되었다."
"The loss function converged after approximately 50 epochs of training.","손실 함수는 약 50 에포크의 훈련 후에 수렴했다."
"We split the dataset into training, validation, and test sets with a ratio of 7:2:1.","우리는 데이터셋을 7:2:1의 비율로 훈련, 검증, 테스트 세트로 분할했다."
"The baseline model serves as a reference point for evaluating the effectiveness of our approach.","기준 모델은 우리 접근법의 효과를 평가하기 위한 참조점 역할을 한다."
"Hyperparameter tuning was performed using grid search and cross-validation.","하이퍼파라미터 튜닝은 그리드 탐색과 교차 검증을 사용하여 수행되었다."
"The attention weights provide interpretability by highlighting important features in the input.","어텐션 가중치는 입력에서 중요한 특징을 강조하여 해석 가능성을 제공한다."
"Pre-training on large-scale datasets significantly improves downstream task performance.","대규모 데이터셋에 대한 사전 훈련은 하위 작업 성능을 크게 향상시킨다."
"The model demonstrates strong generalization capabilities on unseen data.","모델은 보지 못한 데이터에 대해 강력한 일반화 능력을 보여준다."
"Recurrent neural networks are particularly effective for sequential data processing.","순환 신경망은 순차 데이터 처리에 특히 효과적이다."
"The gradient descent algorithm iteratively updates model parameters to minimize the loss.","경사 하강 알고리즘은 손실을 최소화하기 위해 모델 파라미터를 반복적으로 업데이트한다."
"Evaluation metrics include precision, recall, F1-score, and area under the ROC curve.","평가 지표는 정밀도, 재현율, F1 점수 및 ROC 곡선 아래 면적을 포함한다."
"The embedding layer maps discrete tokens into continuous vector representations.","임베딩 층은 이산 토큰을 연속 벡터 표현으로 매핑한다."
"Multi-task learning enables the model to leverage shared knowledge across related tasks.","다중 작업 학습은 모델이 관련 작업 간 공유 지식을 활용할 수 있게 한다."
"The training process was regularized using L2 penalty to prevent weight explosion.","훈련 과정은 가중치 폭발을 방지하기 위해 L2 패널티를 사용하여 정규화되었다."
"Our method outperforms state-of-the-art approaches by a margin of 3.5 percent.","우리의 방법은 최첨단 접근법을 3.5% 차이로 능가한다."
"The model architecture is designed to be lightweight for deployment on mobile devices.","모델 아키텍처는 모바일 기기에 배포하기 위해 경량화되도록 설계되었다."
